image,empty,not_adipocyte,adipocyte
4th Meat, 400 g, 3 wts_r25_c8.jpg,0.147448,0.844209,0.008343
4th Meat, 400 g, 3 wts_r25_c9.jpg,0.034080,0.953754,0.012165
4th Meat, 400 g, 3 wts_r26_c8.jpg,0.618001,0.373817,0.008181
4th Meat, 400 g, 3 wts_r27_c10.jpg,0.597087,0.372610,0.030303
4th Meat, 400 g, 3 wts_r27_c12.jpg,0.552034,0.437474,0.010492
4th Meat, 400 g, 3 wts_r27_c14.jpg,0.484025,0.500765,0.015210
4th Meat, 400 g, 3 wts_r27_c15.jpg,0.515660,0.473050,0.011290
4th Meat, 400 g, 3 wts_r27_c19.jpg,0.382108,0.606198,0.011694
4th Meat, 400 g, 3 wts_r27_c5.jpg,0.157080,0.836461,0.006459
4th Meat, 400 g, 3 wts_r27_c7.jpg,0.031804,0.956540,0.011656
4th Meat, 400 g, 3 wts_r27_c8.jpg,0.049839,0.926793,0.023367
4th Meat, 400 g, 3 wts_r27_c9.jpg,0.436554,0.522736,0.040710
4th Meat, 400 g, 3 wts_r28_c10.jpg,0.083698,0.895626,0.020676
4th Meat, 400 g, 3 wts_r28_c11.jpg,0.370411,0.577115,0.052475
4th Meat, 400 g, 3 wts_r28_c12.jpg,0.622906,0.347100,0.029994
4th Meat, 400 g, 3 wts_r28_c14.jpg,0.877922,0.109369,0.012709
4th Meat, 400 g, 3 wts_r28_c15.jpg,0.064747,0.910924,0.024329
4th Meat, 400 g, 3 wts_r28_c8.jpg,0.258305,0.716971,0.024724
4th Meat, 400 g, 3 wts_r29_c12.jpg,0.490866,0.429907,0.079227
4th Meat, 400 g, 3 wts_r29_c14.jpg,0.058245,0.908256,0.033499
4th Meat, 400 g, 3 wts_r29_c8.jpg,0.456617,0.531254,0.012129
4th Meat, 400 g, 3 wts_r30_c10.jpg,0.173896,0.789164,0.036939
4th Meat, 400 g, 3 wts_r30_c18.jpg,0.185097,0.789540,0.025363
4th Meat, 400 g, 3 wts_r30_c19.jpg,0.213859,0.769275,0.016867
4th Meat, 400 g, 3 wts_r30_c5.jpg,0.050102,0.941697,0.008201
4th Meat, 400 g, 3 wts_r30_c8.jpg,0.218071,0.772957,0.008973
4th Meat, 400 g, 3 wts_r31_c10.jpg,0.829682,0.164744,0.005574
4th Meat, 400 g, 3 wts_r5_c21.jpg,0.681365,0.296601,0.022033
4th Meat, 400 g, 3 wts_r7_c21.jpg,0.222563,0.764003,0.013434
4th Meat, 400 g, 3 wts_r9_c11.jpg,0.923708,0.073963,0.002329
4th Meat, 400 g, 3 wts_r9_c15.jpg,0.242581,0.708131,0.049289
4th Meat, 400 g, 3 wts_r9_c19.jpg,0.520353,0.464267,0.015380
5 BEEF Shoulder _r0_c27.jpg,0.123105,0.859914,0.016982
5 BEEF Shoulder _r0_c28.jpg,0.673387,0.317764,0.008849
5 BEEF Shoulder _r0_c36.jpg,0.018875,0.963309,0.017816
5 BEEF Shoulder _r10_c15.jpg,0.012128,0.984024,0.003848
5 BEEF Shoulder _r10_c20.jpg,0.008687,0.986606,0.004707
5 BEEF Shoulder _r10_c23.jpg,0.006347,0.981636,0.012017
5 BEEF Shoulder _r10_c24.jpg,0.045217,0.938786,0.015996
5 BEEF Shoulder _r10_c31.jpg,0.024708,0.958068,0.017224
5 BEEF Shoulder _r10_c32.jpg,0.029791,0.935950,0.034259
5 BEEF Shoulder _r10_c40.jpg,0.912948,0.077292,0.009760
5 BEEF Shoulder _r11_c20.jpg,0.134039,0.854554,0.011407
5 BEEF Shoulder _r11_c21.jpg,0.006214,0.983365,0.010420
5 BEEF Shoulder _r11_c22.jpg,0.044838,0.947036,0.008126
5 BEEF Shoulder _r11_c23.jpg,0.013302,0.978738,0.007960
5 BEEF Shoulder _r11_c24.jpg,0.002219,0.993688,0.004093
5 BEEF Shoulder _r11_c29.jpg,0.016006,0.954986,0.029009
5 BEEF Shoulder _r11_c31.jpg,0.014416,0.957275,0.028309
5 BEEF Shoulder _r11_c4.jpg,0.027449,0.964041,0.008511
5 BEEF Shoulder _r11_c7.jpg,0.026967,0.962629,0.010403
5 BEEF Shoulder _r12_c20.jpg,0.003326,0.995681,0.000993
5 BEEF Shoulder _r12_c23.jpg,0.032375,0.961565,0.006060
5 BEEF Shoulder _r12_c25.jpg,0.007955,0.988826,0.003219
